n_total,n_positive_eta,mean_eta,max_eta,var_eta,skew_eta,pr_bin_participation,species_key,n_structures_attempted,n_rows_written
10651.0,10133.0,1.1752553040040628,816.3,121.75034650733815,44.36509139812684,12.391000248235896,9euro1,11170.0,10651.0
12250.0,11891.0,1.0074633671197017,836.1,124.27834786881354,44.491625444078515,11.153989651415044,9euro2,12509.0,12250.0
8316.0,0.0,,,,,,9noca1,8398.0,8316.0
9396.0,9143.0,0.8953201072998646,196.2,40.36631721622489,13.774177774494426,13.805245747214778,9pezi1,9561.0,9396.0
7918.0,7410.0,1.192520084300454,355.5,86.11614963663898,20.95448233628741,14.410765379582351,ajecg,9199.0,7918.0
26739.0,25005.0,18.88925309069958,6566.4,16866.897453439797,19.130518144842565,14.86784937619596,arath,27402.0,26739.0
10536.0,9495.0,18.328094125359,13545.6,35007.51652238217,47.063654894786,13.671599491017203,bruma,10972.0,10536.0
19226.0,17441.0,16.498873019126417,7690.8,15585.481618745762,25.633593242764338,12.543653670875132,caeel,19700.0,19226.0
1615.0,0.0,,,,,,camje,1620.0,1615.0
5877.0,5674.0,0.6739247026411548,93.6,19.476420894733653,11.547849133619598,15.687521135627629,canal,5973.0,5877.0
26186.0,25430.0,26.75913800943464,13182.0,66900.00722857134,25.48332824650927,11.939497036897327,danre,26290.0,26186.0
11990.0,11037.0,3.421792582662775,1409.1,812.8233784668392,25.389686271471668,13.972817123144292,dicdi,12612.0,11990.0
10343.0,9589.0,16.795844992621443,4110.6,13139.863607235218,16.692038885419304,16.354461636642817,drame,10834.0,10343.0
13357.0,12429.0,27.32529348866385,7329.6,35433.786917520374,19.55760491574168,15.061835213153476,drome,13461.0,13357.0
4346.0,0.0,,,,,,ecoli,4370.0,4346.0
1657.0,0.0,,,,,,haein,1660.0,1657.0
1521.0,0.0,,,,,,helpy,1540.0,1521.0
20101.0,19019.0,35.318139645400095,16819.2,88552.00746343787,24.592569423201734,12.45875804985957,human,20550.0,20101.0
5658.0,0.0,,,,,,kleph,5727.0,5658.0
7726.0,7349.0,6.597384652026593,1644.0,2771.666334142332,15.855220324441028,13.91074890578143,leiin,7924.0,7726.0
36753.0,32602.0,21.35040126522372,6782.4,17354.125805901895,20.91562308017872,16.787533110624192,maize,39139.0,36753.0
1761.0,0.0,,,,,,metja,1773.0,1761.0
21209.0,20361.0,31.599525020918033,10224.0,56817.50750597002,19.033470266877295,11.960544255840334,mouse,21452.0,21209.0
1552.0,0.0,,,,,,mycle,1602.0,1552.0
3914.0,0.0,,,,,,myctu,3991.0,3914.0
2035.0,0.0,,,,,,neig1,2106.0,2035.0
10976.0,9460.0,19.852805463502403,11475.0,25590.60560411465,43.5832385110791,14.3961510569858,oncvo,12039.0,10976.0
37215.0,29883.0,23.524960247395857,9871.2,16916.999578939576,24.439931877961193,15.892001271440275,orysj,43645.0,37215.0
7893.0,7257.0,1.5144394236118235,772.2,146.84950245664714,39.13448931623703,14.226770963085903,parba,8794.0,7893.0
5062.0,4723.0,6.171113610030208,1836.0,2339.535667783514,18.819615025411963,15.615217794578319,plaf7,5168.0,5062.0
5527.0,0.0,,,,,,pseae,5555.0,5527.0
21785.0,20684.0,34.82819824989971,14292.0,95872.75649516507,24.080198686983955,12.284952837237325,rat,22152.0,21785.0
4493.0,0.0,,,,,,salty,4526.0,4493.0
9406.0,8716.0,16.36510628693362,5997.6,16809.93051444293,21.317711381579024,14.488727124589994,schma,9735.0,9406.0
5076.0,4881.0,0.6613663982457471,111.78,20.01056822158216,13.341312628217716,14.423806020978066,schpo,5196.0,5076.0
3860.0,0.0,,,,,,shids,3893.0,3860.0
53909.0,49618.0,21.33697742041519,6739.2,23188.812627720326,21.234096626943654,16.24758519085743,soybn,55796.0,53909.0
8494.0,8254.0,0.9575818566239567,365.4,64.38749745844841,21.97104608677451,12.707390889947076,spos1,8652.0,8494.0
2852.0,0.0,,,,,,staa8,2888.0,2852.0
14930.0,14043.0,11.267202725987419,2641.8,6952.832516662275,14.46115229571047,12.540573561604853,strer,15335.0,14930.0
2012.0,0.0,,,,,,strr6,2031.0,2012.0
9131.0,8695.0,10.366227743866117,2203.2,5621.57325966821,14.749024201555407,15.397234799861268,tritr,9563.0,9131.0
7961.0,7355.0,6.96144116230759,2415.0,3965.2973772748123,23.955382065005356,13.236337615517552,tryb2,8491.0,7961.0
18502.0,16049.0,7.3036454138624,2043.0,2783.994870966253,17.45304735591588,14.344901018554893,trycc,19036.0,18502.0
11927.0,10399.0,22.87006090833535,3825.0,13025.689426036297,12.844803904557756,18.162613359713607,wucba,12725.0,11927.0
5858.0,5584.0,0.035916061652576436,12.540000000000001,0.06564497050647893,24.882855610868727,14.298920784460469,yeast,6055.0,5858.0
