species_key,scientific_name,domain,lineage_group,phylo_group,alphafold_file_name,alphafold_url,n_proteins
metja,Methanocaldococcus jannaschii,archaea,prokaryote,1,UP000000805_243232_METJA_v6.tar,,1761.0
9noca1,Nocardia brasiliensis,bacteria,prokaryote,2,UP000006304_1133849_9NOCA1_v6.tar,,8316.0
camje,Campylobacter jejuni,bacteria,prokaryote,3,UP000000799_192222_CAMJE_v6.tar,,1615.0
ecoli,Escherichia coli K-12,bacteria,prokaryote,4,UP000000625_83333_ECOLI_v6.tar,,4346.0
haein,Haemophilus influenzae,bacteria,prokaryote,5,UP000000579_71421_HAEIN_v6.tar,,1657.0
helpy,Helicobacter pylori,bacteria,prokaryote,6,UP000000429_85962_HELPY_v6.tar,,1521.0
kleph,Klebsiella pneumoniae,bacteria,prokaryote,7,UP000007841_1125630_KLEPH_v6.tar,,5658.0
mycle,Mycobacterium leprae,bacteria,prokaryote,8,UP000000806_272631_MYCLE_v6.tar,,1552.0
myctu,Mycobacterium tuberculosis,bacteria,prokaryote,9,UP000001584_83332_MYCTU_v6.tar,,3914.0
neig1,Neisseria gonorrhoeae,bacteria,prokaryote,10,UP000000535_242231_NEIG1_v6.tar,,2035.0
pseae,Pseudomonas aeruginosa,bacteria,prokaryote,11,UP000002438_208964_PSEAE_v6.tar,,5527.0
salty,Salmonella enterica,bacteria,prokaryote,12,UP000001014_99287_SALTY_v6.tar,,4493.0
shids,Shigella dysenteriae,bacteria,prokaryote,13,UP000002716_300267_SHIDS_v6.tar,,3860.0
staa8,Staphylococcus aureus,bacteria,prokaryote,14,UP000008816_93061_STAA8_v6.tar,,2852.0
strr6,Streptococcus pneumoniae,bacteria,prokaryote,15,UP000000586_171101_STRR6_v6.tar,,2012.0
yeast,Saccharomyces cerevisiae,eukaryota,fungi,16,UP000002311_559292_YEAST_v6.tar,,5858.0
schpo,Schizosaccharomyces pombe,eukaryota,fungi,17,UP000002485_284812_SCHPO_v6.tar,,5076.0
canal,Candida albicans,eukaryota,fungi,18,UP000000559_237561_CANAL_v6.tar,,5877.0
dicdi,Dictyostelium discoideum,eukaryota,protists,19,UP000002195_44689_DICDI_v6.tar,,11990.0
plaf7,Plasmodium falciparum,eukaryota,protists,20,UP000001450_36329_PLAF7_v6.tar,,5062.0
tryb2,Trypanosoma brucei,eukaryota,protists,21,UP000008524_185431_TRYB2_v6.tar,,7961.0
trycc,Trypanosoma cruzi,eukaryota,protists,22,UP000002296_353153_TRYCC_v6.tar,,18502.0
leiin,Leishmania infantum,eukaryota,protists,23,UP000008153_5671_LEIIN_v6.tar,,7726.0
9pezi1,Madurella mycetomatis,eukaryota,fungi,24,UP000078237_100816_9PEZI1_v6.tar,,9396.0
9euro1,Cladophialophora carrionii,eukaryota,fungi,25,UP000094526_86049_9EURO1_v6.tar,,10651.0
9euro2,Fonsecaea pedrosoi,eukaryota,fungi,26,UP000053029_1442368_9EURO2_v6.tar,,12250.0
ajecg,Histoplasma capsulatum,eukaryota,fungi,27,UP000001631_447093_AJECG_v6.tar,,7918.0
parba,Paracoccidioides lutzii,eukaryota,fungi,28,UP000002059_502779_PARBA_v6.tar,,7893.0
spos1,Sporothrix schenckii,eukaryota,fungi,29,UP000018087_1391915_SPOS1_v6.tar,,8494.0
arath,Arabidopsis thaliana,eukaryota,plants,30,UP000006548_3702_ARATH_v6.tar,,26739.0
orysj,Oryza sativa,eukaryota,plants,31,UP000059680_39947_ORYSJ_v6.tar,,37215.0
maize,Zea mays,eukaryota,plants,32,UP000007305_4577_MAIZE_v6.tar,,36753.0
soybn,Glycine max,eukaryota,plants,33,UP000008827_3847_SOYBN_v6.tar,,53909.0
bruma,Brugia malayi,eukaryota,metazoa,34,UP000006672_6279_BRUMA_v6.tar,,10536.0
caeel,Caenorhabditis elegans,eukaryota,metazoa,35,UP000001940_6239_CAEEL_v6.tar,,19226.0
drame,Dracunculus medinensis,eukaryota,metazoa,36,UP000274756_318479_DRAME_v6.tar,,10343.0
oncvo,Onchocerca volvulus,eukaryota,metazoa,37,UP000024404_6282_ONCVO_v6.tar,,10976.0
schma,Schistosoma mansoni,eukaryota,metazoa,38,UP000008854_6183_SCHMA_v6.tar,,9406.0
strer,Strongyloides stercoralis,eukaryota,metazoa,39,UP000035681_6248_STRER_v6.tar,,14930.0
tritr,Trichuris trichiura,eukaryota,metazoa,40,UP000030665_36087_TRITR_v6.tar,,9131.0
wucba,Wuchereria bancrofti,eukaryota,metazoa,41,UP000270924_6293_WUCBA_v6.tar,,11927.0
drome,Drosophila melanogaster,eukaryota,metazoa,42,UP000000803_7227_DROME_v6.tar,,13357.0
danre,Danio rerio,eukaryota,metazoa,43,UP000000437_7955_DANRE_v6.tar,,26186.0
human,Homo sapiens,eukaryota,metazoa,44,UP000005640_9606_HUMAN_v6.tar,,20101.0
mouse,Mus musculus,eukaryota,metazoa,45,UP000000589_10090_MOUSE_v6.tar,,21209.0
rat,Rattus norvegicus,eukaryota,metazoa,46,UP000002494_10116_RAT_v6.tar,,21785.0
