protein_id,length,B,I,source,eta,log10_eta,B_epsilon,eta_epsilon,log10_eta_epsilon,title,resolution,engineered_hint
6jcc,97,1.0,3554.0,synthetic,0.0002813731007315701,-3.550717423469283,1e-12,2.8137310073157004e-16,-15.550717423469283,structure of a de novo protein D_1CY5_M1,,
9quc,171,1.0,13550.0,synthetic,7.380073800738008e-05,-4.131939295210424,1e-12,7.380073800738008e-17,-16.131939295210426,Metal-free de novo protein scaffold TFD-EH,,
9s7r,184,1.0,3545.0,synthetic,0.00028208744710860365,-3.5496162395190853,1e-12,2.820874471086037e-16,-15.549616239519086,Structure of the de novo protein scaffold MID1sc9_4xE,,
9qud,170,1.0,13013.0,synthetic,7.684623069238454e-05,-4.114377429786155,1e-12,7.684623069238454e-17,-16.114377429786156,Cu(II)-bound de novo protein scaffold TFD-EH,,
9qui,170,1.0,12700.0,synthetic,7.874015748031496e-05,-4.103803720955957,1e-12,7.874015748031496e-17,-16.103803720955955,Ni(II)-bound de novo protein scaffold TFD-EH,,
9qul,169,1.0,12890.0,synthetic,7.757951900698215e-05,-4.110252917353403,1e-12,7.757951900698216e-17,-16.110252917353403,Zn(II)-bound de novo protein scaffold TFD-EH T87E,,
9quo,170,1.0,12852.0,synthetic,7.78089013383131e-05,-4.1089707168794805,1e-12,7.78089013383131e-17,-16.10897071687948,Co(II)-bound de novo protein scaffold TFD-EH T87E,,
9qup,337,1.0,34416.0,synthetic,2.905625290562529e-05,-4.536760393043387,1e-12,2.905625290562529e-17,-16.536760393043387,Tb(III)-bound de novo protein scaffold TFD-EE MPNN,,
6vtw,485,1.0,47609.0,synthetic,2.1004431935138316e-05,-4.677689059461427,1e-12,2.1004431935138314e-17,-16.677689059461425,De novo protein design enables the precise induction of RSV-neutralizing antibodies,,
6kos,390,1.0,6486.0,synthetic,0.0001541782300339192,-3.811976944336954,1e-12,1.5417823003391922e-16,-15.811976944336953,"Crystal structure of SUWA (Super WA20), a hyper-stable de novo protein with a dimeric bisecting topology",,
