protein_id,length,B,I,eta,log10_eta,source
6jcc,97,1.0,3554.0,0.0002813731007315,-3.550717423469283,synthetic
9quc,171,1.0,13550.0,7.380073800738008e-05,-4.131939295210424,synthetic
9s7r,184,1.0,3545.0,0.0002820874471086,-3.5496162395190853,synthetic
9qud,170,1.0,13013.0,7.684623069238454e-05,-4.114377429786155,synthetic
9qui,170,1.0,12700.0,7.874015748031496e-05,-4.103803720955957,synthetic
9qul,169,1.0,12890.0,7.757951900698215e-05,-4.110252917353403,synthetic
9quo,170,1.0,12852.0,7.78089013383131e-05,-4.1089707168794805,synthetic
9qup,337,1.0,34416.0,2.905625290562529e-05,-4.536760393043387,synthetic
6vtw,485,1.0,47609.0,2.1004431935138316e-05,-4.677689059461427,synthetic
6kos,390,1.0,6486.0,0.0001541782300339,-3.811976944336954,synthetic
6dlc,138,1.0,4246.0,0.0002355157795572,-3.62797998982998,synthetic
9ded,114,1.0,5282.0,0.0001893222264293,-3.722798396870905,synthetic
7dmf,189,1.0,9619.0,0.0001039609106975,-3.9831299247347,synthetic
7vty,90,1.0,3777.0,0.0002647603918453,-3.5771469848275252,synthetic
8ju8,139,1.0,7604.0,0.0001315097317201,-3.8810421081934057,synthetic
3uy8,493,1.0,52216.0,1.915121801746591e-05,-4.717803599687921,synthetic
3uyc,487,1.0,49137.0,2.0351262795856483e-05,-4.691408637630063,synthetic
6mrr,68,1.0,1314.0,0.0007610350076103,-3.118595365223762,synthetic
6mrs,77,1.0,3502.0,0.0002855511136493,-3.5443161417474274,synthetic
6wi5,180,1.0,12343.0,8.101758081503687e-05,-4.091420728992051,synthetic
7dgu,97,1.0,3608.0,0.0002771618625277,-3.557266528869904,synthetic
7dgw,94,1.0,3334.0,0.0002999400119976,-3.5229655954919865,synthetic
7dgy,99,1.0,4153.0,0.0002407897905128,-3.6183619311098782,synthetic
3uxa,494,1.0,51134.0,1.9556459498572378e-05,-4.708709767105175,synthetic
3uz5,494,1.0,50370.0,1.985308715505261e-05,-4.702171950857712,synthetic
6iev,321,1.0,19999.0,5.000250012500625e-05,-4.301008280397,synthetic
6nuk,200,1.0,10245.0,9.760858955588093e-05,-4.010511962737214,synthetic
8xyr,165,1.0,15002.0,6.665777896280495e-05,-4.176149161126549,synthetic
8xys,660,1.0,63105.0,1.5846604864907693e-05,-4.8000637710726775,synthetic
8xyt,659,1.0,61541.0,1.624932971514925e-05,-4.789164548963006,synthetic
8xyu,169,1.0,15276.0,6.546216286986122e-05,-4.18400964970128,synthetic
8xyv,197,1.0,5875.0,0.0001702127659574,-3.7690078709437738,synthetic
8xyw,105,1.0,6254.0,0.000159897665494,-3.796157876906914,synthetic
7skp,146,1.0,11434.0,8.745845723281441e-05,-4.058198187878253,synthetic
4dac,104,1.0,5.0,0.2,-0.6989700043360187,synthetic
4r6f,329,1.0,21939.0,4.558092893933178e-05,-4.34121682814391,synthetic
6nx2,267,1.0,2491.0,0.0004014452027298,-3.3963737275365067,synthetic
6nxm,274,1.0,2835.0,0.000352733686067,-3.452553063228925,synthetic
6nye,283,1.0,6895.0,0.0001450326323422,-3.838534270511869,synthetic
6nyi,286,1.0,7967.0,0.0001255177607631,-3.9012948171655673,synthetic
6nyk,271,1.0,4627.0,0.0002161227577263,-3.665299499499897,synthetic
6nz1,569,1.0,16906.0,5.915059742103395e-05,-4.228040864639632,synthetic
6nz3,275,1.0,2712.0,0.0003687315634218,-3.433289685195026,synthetic
7bwn,2497,1.0,357018.0,2.8009792223361287e-06,-5.55269011276095,synthetic
7jh5,564,1.0,45213.0,2.2117532568066706e-05,-4.655263324557406,synthetic
7vqw,232,1.0,12756.0,7.839448102853559e-05,-4.105714510570921,synthetic
9gvf,211,1.0,8860.0,0.0001128668171557,-3.947433721887051,synthetic
7skn,289,1.0,21034.0,4.754207473614148e-05,-4.32292186958309,synthetic
7sko,283,1.0,20659.0,4.84050534875841e-05,-4.3151092956447465,synthetic
3uzj,489,1.0,48266.0,2.0718518211577508e-05,-4.683641308557471,synthetic
5e6g,227,1.0,8510.0,0.0001175088131609,-3.929929560084588,synthetic
7tjl,85,1.0,1188.0,0.0008417508417508,-3.074816440645175,synthetic
9mxw,310,1.0,20625.0,4.848484848484849e-05,-4.314393957221963,synthetic
9mxx,149,1.0,11719.0,8.53315129277242e-05,-4.068890554257935,synthetic
9vvn,167,1.0,11144.0,8.973438621679828e-05,-4.047041103415907,synthetic
3uxd,494,1.0,50874.0,1.9656406022722804e-05,-4.706495885648506,synthetic
3uy7,494,1.0,52119.0,1.9186860837698344e-05,-4.716996074372699,synthetic
6ny8,272,1.0,2636.0,0.0003793626707132,-3.420945405921972,synthetic
7ur7,63,1.0,2380.0,0.0004201680672268,-3.376576957056512,synthetic
7ur8,71,1.0,2025.0,0.0004938271604938,-3.3064250275506875,synthetic
9lni,212,1.0,9337.0,0.0001071007818357,-3.9702073588068543,synthetic
9lx4,350,1.0,27536.0,3.631609529343405e-05,-4.439900852983485,synthetic
4jmg,204,1.0,25814.0,3.873866893933525e-05,-4.411855305718946,synthetic
4jmh,206,1.0,14840.0,6.738544474393532e-05,-4.171433900943009,synthetic
6n4n,765,1.0,89752.0,1.1141812995810678e-05,-4.9530441350139895,synthetic
6ywc,994,1.0,102131.0,9.79134640804457e-06,-5.009157584256242,synthetic
6ywd,511,1.0,49143.0,2.0348778055877744e-05,-4.691461665039397,synthetic
7xad,1153,1.0,78334.0,1.2765848801286795e-05,-4.893950303659596,synthetic
4f34,492,1.0,42490.0,2.353494939985879e-05,-4.628286731089514,synthetic
1qys,91,1.0,4199.0,0.0002381519409383,-3.623145874637939,synthetic
5l33,106,1.0,5799.0,0.0001724435247456,-3.7633531087482153,synthetic
5tpj,122,1.0,6238.0,0.0001603077909586,-3.795045370421125,synthetic
5trv,118,1.0,6021.0,0.000166085367879,-3.779668627207148,synthetic
5ts4,400,1.0,19440.0,5.1440329218106995e-05,-4.288696260590256,synthetic
5u35,246,1.0,13824.0,7.233796296296296e-05,-4.140633725134818,synthetic
8tn1,441,1.0,16871.0,5.927330922885425e-05,-4.227140825423186,synthetic
4zn8,188,1.0,957.0,0.0010449320794148,-2.9809119377768436,synthetic
5tph,241,1.0,12970.0,7.710100231303006e-05,-4.11293997608408,synthetic
6c9k,4923,1.0,346930.0,2.8824258495950192e-06,-5.54024185611511,synthetic
6iwb,563,1.0,24529.0,4.076807044722573e-05,-4.389679843219249,synthetic
8tn6,441,1.0,15947.0,6.270771932024833e-05,-4.2026789942277265,synthetic
8tnb,441,1.0,15875.0,6.299212598425197e-05,-4.2007137339640135,synthetic
8tnc,441,1.0,16800.0,5.952380952380952e-05,-4.225309281725863,synthetic
8tnd,441,1.0,15870.0,6.30119722747322e-05,-4.200576926754848,synthetic
