species_key,B,budget_proxy_name,intron_over_cds_prior,domain,notes
9euro1,,intron_over_cds_prior,1.5,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
9euro2,,intron_over_cds_prior,1.5,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
9noca1,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
9pezi1,,intron_over_cds_prior,1.5,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
ajecg,,intron_over_cds_prior,1.5,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
arath,,intron_over_cds_prior,18.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
bruma,,intron_over_cds_prior,17.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
caeel,,intron_over_cds_prior,17.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
camje,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
canal,,intron_over_cds_prior,1.2,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
danre,,intron_over_cds_prior,26.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
