pdb_id,title,length,B,B_epsilon,I,eta,log10_eta,eta_epsilon,log10_eta_epsilon,resolution,engineered_hint,source,synthetic_class
7bwn,Crystal Structure of a Designed Protein Heterocatenane,2497,1.0,1e-12,357018.0,2.8009792223361287e-06,-5.55269011276095,2.8009792223361288e-18,-17.55269011276095,,,synthetic,
6c9k,Single-Particle reconstruction of DARP14 - A designed protein scaffold displaying ~17kDa DARPin proteins,4923,1.0,1e-12,346930.0,2.8824258495950192e-06,-5.54024185611511,2.8824258495950192e-18,-17.54024185611511,,,synthetic,
6c9i,Single-Particle reconstruction of DARP14 - A designed protein scaffold displaying ~17kDa DARPin proteins - Scaffold,3087,1.0,1e-12,250038.0,3.999392092401955e-06,-5.398006016416826,3.9993920924019546e-18,-17.398006016416826,,,synthetic,
6ywc,De novo designed protein 4E1H_95 in complex with 101F antibody,994,1.0,1e-12,102131.0,9.79134640804457e-06,-5.009157584256242,9.79134640804457e-18,-17.009157584256243,,,synthetic,
6n4n,Crystal structure of the designed protein DNCR2/danoprevir/NS3a complex,765,1.0,1e-12,89752.0,1.1141812995810678e-05,-4.9530441350139895,1.114181299581068e-17,-16.95304413501399,,,synthetic,
7xad,Crystal strucutre of PD-L1 and DBL2_02 designed protein binder,1153,1.0,1e-12,78334.0,1.2765848801286795e-05,-4.893950303659596,1.2765848801286797e-17,-16.893950303659597,,,synthetic,
8yl8,Crystal structure of the de novo designed protein 200 AA in the crystal form 2,820,1.0,1e-12,69396.0,1.4410052452590929e-05,-4.841334438351219,1.4410052452590926e-17,-16.84133443835122,,,synthetic,
8xys,De novo designed protein GPX4-1,660,1.0,1e-12,63105.0,1.5846604864907693e-05,-4.8000637710726775,1.5846604864907692e-17,-16.80006377107268,,,synthetic,
8xyt,De novo designed protein GPX4-4,659,1.0,1e-12,61541.0,1.624932971514925e-05,-4.789164548963006,1.6249329715149248e-17,-16.789164548963004,,,synthetic,
8fbn,Improving the secretion of designed protein assemblies through negative design of cryptic transmembrane domains,1349,1.0,1e-12,57241.0,1.7469995283101274e-05,-4.757707212276563,1.7469995283101272e-17,-16.757707212276564,,,synthetic,
3uy8,Designed protein KE59 R5_11/5F,493,1.0,1e-12,52216.0,1.915121801746591e-05,-4.717803599687921,1.9151218017465908e-17,-16.71780359968792,,,synthetic,
3uy7,Designed protein KE59 R1 7/10H with G130S mutation,494,1.0,1e-12,52119.0,1.9186860837698344e-05,-4.716996074372699,1.9186860837698346e-17,-16.716996074372698,,,synthetic,
3uxa,Designed protein KE59 R1 7/10H,494,1.0,1e-12,51134.0,1.9556459498572378e-05,-4.708709767105175,1.9556459498572377e-17,-16.708709767105173,,,synthetic,
3uxd,Designed protein KE59 R1 7/10H with dichlorobenzotriazole (DBT),494,1.0,1e-12,50874.0,1.9656406022722804e-05,-4.706495885648506,1.9656406022722805e-17,-16.706495885648504,,,synthetic,
3uz5,Designed protein KE59 R13 3/11H,494,1.0,1e-12,50370.0,1.985308715505261e-05,-4.702171950857712,1.9853087155052607e-17,-16.70217195085771,,,synthetic,
6ywd,De novo designed protein 4H_01 in complex with Mota antibody,511,1.0,1e-12,49143.0,2.0348778055877744e-05,-4.691461665039397,2.0348778055877744e-17,-16.691461665039398,,,synthetic,
3uyc,Designed protein KE59 R8_2/7A,487,1.0,1e-12,49137.0,2.0351262795856483e-05,-4.691408637630063,2.0351262795856478e-17,-16.691408637630065,,,synthetic,
3uzj,Designed protein KE59 R13 3/11H with benzotriazole,489,1.0,1e-12,48266.0,2.0718518211577508e-05,-4.683641308557471,2.0718518211577508e-17,-16.683641308557473,,,synthetic,
6vtw,De novo protein design enables the precise induction of RSV-neutralizing antibodies,485,1.0,1e-12,47609.0,2.1004431935138316e-05,-4.677689059461427,2.1004431935138314e-17,-16.677689059461425,,,synthetic,
