protein_id,species_key,B,I,eta,length,domain
P78524,human,40992.0,43796.0,0.9359758882089688,427.0,eukaryota
Q8NAX2,human,11712.0,200.0,58.56,122.0,eukaryota
P24310,human,6432.0,86.0,74.79069767441861,67.0,eukaryota
Q86Y78,human,14208.0,8005.0,1.774890693316677,148.0,eukaryota
Q9P1U1,human,38208.0,61323.0,0.6230614940560638,398.0,eukaryota
P60468,human,1824.0,0.0,,19.0,eukaryota
Q96GW7,human,50880.0,58271.0,0.8731616069743097,530.0,eukaryota
Q9Y5E9,human,62784.0,63089.0,0.9951655597647768,654.0,eukaryota
P27701,human,23520.0,16871.0,1.394108233062652,245.0,eukaryota
Q8N807,human,45216.0,34787.0,1.2997959007675282,471.0,eukaryota
Q96PX6,human,17088.0,1217.0,14.041084634346754,178.0,eukaryota
O60488,human,65568.0,114995.0,0.5701813122309666,683.0,eukaryota
Q9UN76,human,56640.0,175024.0,0.3236127616783983,590.0,eukaryota
P00738,human,33216.0,36253.0,0.9162276225415829,346.0,eukaryota
Q5T442,human,19872.0,15927.0,1.2476925974759845,207.0,eukaryota
P04004,human,24768.0,30390.0,0.815004935834156,258.0,eukaryota
P62829,human,12672.0,10666.0,1.188074254640915,132.0,eukaryota
Q8N3Y7,human,28992.0,25325.0,1.144797630799605,302.0,eukaryota
P50750,human,30144.0,28829.0,1.045613791668112,314.0,eukaryota
Q9UHB9,human,47040.0,15931.0,2.9527336639256796,490.0,eukaryota
P56589,human,32160.0,32134.0,1.0008091118441529,335.0,eukaryota
Q6IQ32,human,41856.0,14949.0,2.799919727072045,436.0,eukaryota
Q8TAB3,human,62688.0,64587.0,0.9705977983185472,653.0,eukaryota
Q14139,human,92256.0,70986.0,1.2996365480517285,961.0,eukaryota
O00623,human,27840.0,10470.0,2.659025787965616,290.0,eukaryota
P49747,human,65952.0,85770.0,0.7689401888772298,687.0,eukaryota
P0C7P2,human,960.0,0.0,,10.0,eukaryota
Q9Y2I6,human,74688.0,4495.0,16.61579532814238,778.0,eukaryota
Q9NZI8,human,42528.0,25608.0,1.6607310215557638,443.0,eukaryota
Q9BYZ8,human,12384.0,12555.0,0.9863799283154122,129.0,eukaryota
